Car Model,Location,Price,Fuel,KM driven,Transmission
2017 Hyundai Xcent E+ 1.2 CRDI,Ghansoli Navi Mumbai,₹3.21 lakh,Diesel,"59,600 km",Manual
2014 Hyundai i20 SPORTZ 1.2,Thane West Thane Maharashtra,₹2.57 lakh,Petrol,"68,543 km",Manual
2014 Hyundai Santro Xing GLS,Vikhroli Mumbai Maharashtra,₹1.4 lakh,Petrol,"52,002 km",Manual
2014 Hyundai Verna FLUIDIC 1.6 VTVT SX AT,Lower Parel Mumbai,₹3.87 lakh,Petrol,"52,506 km",Automatic
2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Ghatkopar West Mumbai Maharashtra,₹3.6 lakh,Petrol,"35,098 km",Manual
2014 Hyundai Eon SPORTZ,Mazgaon Mumbai Maharashtra,₹2.1 lakh,Petrol,"28,226 km",Manual
2012 Hyundai i10 MAGNA 1.2,Kalher Bhiwandi Maharashtra,₹1.5 lakh,Petrol,"56,979 km",Manual
2012 Hyundai i10 SPORTZ 1.2 AT,Panvel Navi Mumbai Maharashtra,₹1.95 lakh,Petrol,"65,211 km",Automatic
2016 Hyundai Verna FLUIDIC 4S 1.6 VTVT S,कांदिवली ईस्ट मुंबई,₹4.5 lakh,Petrol,"43,005 km",Manual
2011 Hyundai Verna FLUIDIC 1.6 VTVT EX,Worli Mumbai Maharashtra,₹1.77 lakh,Petrol,"78,217 km",Manual
2011 Hyundai i20 MAGNA 1.2,Shidivinayak Colony Titwala,₹1.35 lakh,Petrol,"73,468 km",Manual
2012 Hyundai i20 SPORTZ 1.2,Mulund West Mumbai Maharashtra,₹1.6 lakh,Petrol,"90,772 km",Manual
2015 Hyundai Eon MAGNA +,Gauripada Kalyan,₹2.49 lakh,Petrol,"28,494 km",Manual
2012 Hyundai Verna FLUIDIC 1.6 VTVT EX,Goregaon West Mumbai Maharashtra,₹2.49 lakh,Petrol,"7,865 km",Manual
2011 Hyundai i10 ERA 1.1,Mira Road East Mira Bhayandar,₹1.14 lakh,Petrol,"66,957 km",Manual
2013 Hyundai Verna FLUIDIC VTVT 1.6 EX AT,कांदिवली पश्चिम मुंबई महाराष्ट्र,₹2.5 lakh,Petrol,"114,296 km",Automatic
2018 Hyundai Creta SX PLUS 1.6 PETROL,Colaba Mumbai Maharashtra,₹6.75 lakh,Petrol,"75,614 km",Manual
2011 Hyundai i20 MAGNA (O) 1.2,Vasai West Sandor Maharashtra,₹1.64 lakh,Petrol,"61,108 km",Manual
2012 Hyundai i20 ASTA 1.4 CRDI,Malad w Mumbai Maharashtra,₹2.52 lakh,Diesel,"147,214 km",Manual
2012 Hyundai i10 ASTA 1.2,Kandivali West Mumbai,₹2.19 lakh,Petrol,"37,689 km",Manual
2013 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Powai Mumbai Maharashtra,₹2.83 lakh,Petrol,"33,137 km",Manual
2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Kandivali East Mumbai Maharashtra,₹3.27 lakh,Petrol,"35,790 km",Manual
2012 Hyundai i20 SPORTZ 1.2,Dombivli East Nilje Gaon Maharashtra,₹2.31 lakh,Petrol,"35,703 km",Manual
2015 Hyundai Elite i20 ASTA 1.4 CRDI,Sidhi Vinayak Nagar Ulhasnagar,₹4.53 lakh,Diesel,"74,448 km",Manual
2014 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Bandra West Mumbai,₹2.5 lakh,Petrol,"55,036 km",Automatic
2019 Hyundai Elite i20 ASTA 1.4 CRDI (O),Bhayandar East Mira Bhayandar Maharashtra,₹5.94 lakh,Diesel,"93,123 km",Manual
2012 Hyundai i10 ERA 1.1,Panvel Navi Mumbai Maharashtra,₹1.9 lakh,Petrol,"60,000 km",Manual
2018 Hyundai Verna 1.6 VTVT SX O,Taloja Navi Mumbai Maharashtra,₹5.8 lakh,Petrol,"72,478 km",Manual
2010 Hyundai i20 SPORTZ 1.2,Dadar Mumbai Maharashtra,₹1.4 lakh,Petrol,"75,088 km",Manual
2021 Hyundai NEW I20 SPORTZ 1.2 AT,Kandivali East Mumbai,₹6.63 lakh,Petrol,"18,000 km",Automatic
2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Railway Colony Shahdol,₹2.78 lakh,Petrol,"76,226 km",Manual
2012 Hyundai Verna FLUIDIC 1.6 VTVT EX,Parel Mumbai Maharashtra,₹2.4 lakh,Petrol,"66,675 km",Manual
2015 Hyundai Eon MAGNA +,Mulund East Mumbai Maharashtra,₹2.77 lakh,Petrol,"52,975 km",Manual
2013 Hyundai New Elantra 1.8 SX MT VTVT,Malad East Mumbai Maharashtra,₹3.04 lakh,Petrol,"155,931 km",Manual
2012 Hyundai i10 MAGNA 1.1,Airoli Navi Mumbai Maharashtra,₹2.5 lakh,Petrol,"17,781 km",Manual
2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Omaxe City 1 Palwal,₹3.09 lakh,Petrol,"106,846 km",Manual
2011 Hyundai Accent GLE,Mira Road East Mira Bhayandar,₹1.21 lakh,Petrol,"96,078 km",Manual
2011 Hyundai i20 SPORTZ 1.2,Goregaon Mumbai Maharashtra,₹1.67 lakh,Petrol,"69,352 km",Manual
2015 Hyundai Eon ERA +,Malad West Mumbai,₹2.3 lakh,Petrol,"75,901 km",Manual
2013 Hyundai Verna FLUIDIC 1.6 VTVT SX,Chembur Mumbai Maharashtra,₹2.93 lakh,Petrol,"74,000 km",Manual
2015 Hyundai i10 SPORTZ 1.1,Airoli Navi Mumbai Maharashtra,₹2.6 lakh,Petrol,"40,105 km",Manual
2018 Hyundai NEW SANTRO MAGNA CNG,Malad West Mumbai,₹3.28 lakh,Petrol,"70,061 km",Manual
2011 Hyundai i20 ASTA 1.2,Dahisar West Mumbai Maharashtra,₹1.79 lakh,Petrol,"103,332 km",Manual
2014 Hyundai Eon ERA +,Kandivali West Mumbai Maharashtra,₹1.93 lakh,Petrol,"29,197 km",Manual
2016 Hyundai Elite i20 SPORTZ 1.2,Vile Parle West Mumbai Maharashtra,₹3.87 lakh,Petrol,"63,781 km",Manual
2011 Hyundai i10 MAGNA 1.2,Kandivali East Mumbai Maharashtra,₹1.08 lakh,Petrol,"20,311 km",Manual
2013 Hyundai New Elantra 1.8 SX MT VTVT,Sanpada Navi Mumbai Maharashtra,₹3.37 lakh,Petrol,"40,594 km",Manual
2022 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Malad West Mumbai,₹6.31 lakh,Petrol,"21,094 km",Manual
2011 Hyundai i20 SPORTZ 1.2,Navare Nagar Ambernath,₹1.57 lakh,Petrol,"99,306 km",Manual
2010 Hyundai i20 SPORTZ 1.4 CRDI,Malad East Mumbai,₹2 lakh,Diesel,"95,383 km",Manual
2012 Hyundai i20 ASTA 1.2,Kurla Mumbai Maharashtra,₹2.53 lakh,Petrol,"62,004 km",Manual
2011 Hyundai i20 MAGNA 1.2,Thane East Mumbai,₹1.36 lakh,Petrol,"68,216 km",Manual
2011 Hyundai i10 SPORTZ 1.2,Colaba Mumbai Maharashtra,₹1.71 lakh,Petrol,"30,883 km",Manual
2019 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Malad West Mumbai,₹3.95 lakh,Petrol,"20,583 km",Manual
2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Dahisar East Mumbai Maharashtra,₹3.24 lakh,Petrol,"40,250 km",Manual
2011 Hyundai Verna FLUIDIC 1.6 CRDI SX,Kopar Khairane Navi Mumbai,₹2.31 lakh,Diesel,"143,192 km",Manual
2017 Hyundai Elite i20 SPORTZ 1.2,Karanjade Navi Mumbai Maharashtra,₹4.5 lakh,Petrol,"58,969 km",Manual
2024 Hyundai AURA S 1.2 CNG,Thane West Thane Maharashtra,₹7.17 lakh,Petrol,"20,006 km",Manual
