Car_Name,KM driven,Year,Fuel,Transmission,Price,Location
Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"39,882",2017,Petrol,Automatic,4.86,Mumbai Maharashtra
Hyundai New Elantra 1.6 CRDI,"100,146",2012,Diesel,Manual,3.73,Virar Maharashtra
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"43,769",2020,Petrol,Manual,4.5,Virar Maharashtra
Hyundai VENUE SX (O) 1.5 CRDI,"65,776",2019,Diesel,Manual,7.8,Mumbai Maharashtra
Hyundai Verna 1.6 VTVT SX AT,"39,824",2017,Petrol,Automatic,6.27,Mumbai Maharashtra
Hyundai Verna 1.5 TURBO GDI MT SX,"18,153",2023,Petrol,Manual,11.5,Vasai-Virar Maharashtra
Hyundai NEW SANTRO MAGNA CNG,"66,367",2018,Petrol,Manual,3.53,Navi Mumbai
Hyundai Creta SX PLUS 1.6 PETROL,"52,310",2015,Petrol,Manual,6.54,West Mumbai
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"40,728",2023,Petrol,Manual,6.2,Navi Mumbai
Hyundai VENUE S (O) 1.0 TURBO IMT,"3,678",2022,Petrol,Manual,8.6,New Delhi
Hyundai Creta SX PLUS 1.6 DIESEL,"102,468",2015,Diesel,Manual,7.25,Thane Maharashtra
Hyundai Creta S 1.4 DIESEL,"48,125",2018,Diesel,Manual,8.5,West Thane
Hyundai VENUE SX PLUS 1.0 TURBO DCT,"46,976",2021,Petrol,Automatic,8.46,Thane Maharashtra
Hyundai Xcent BASE 1.1,"156,113",2017,Diesel,Manual,3.52,Kalyan Maharashtra
Hyundai Creta SX 1.6 DIESEL,"112,000",2015,Diesel,Manual,7.09,Mumbai Maharashtra
Hyundai Creta SX AT 1.6 PETROL,"114,066",2019,Petrol,Automatic,9.5,Mumbai Maharashtra
Hyundai VENUE SX 1.0 (O) TURBO,"44,614",2020,Petrol,Manual,7,Raichur Maharashtra
Hyundai i20 Active 1.2 S,"73,702",2016,Petrol,Manual,4.25,Andheri Maharashtra
Hyundai ALCAZAR 1.5 SIGNATURE (O) AT 6STR,"37,328",2021,Diesel,Automatic,16.62,Mumbai Maharashtra
Hyundai Creta SX AT 1.6 PETROL,"83,474",2019,Petrol,Automatic,9.4,West Mumbai
Hyundai Creta S PLUS 1.4 TURBO DCT,"34,423",2022,Petrol,Automatic,14.68,Mumbai Maharashtra
Hyundai Verna SX 1.5 l MPI,"18,038",2023,Petrol,Manual,10.75,Thane Maharashtra
Hyundai Creta SX AT 1.6 PETROL,"46,486",2019,Petrol,Automatic,8.85,Mumbai Maharashtra
Hyundai Creta SX (O) AT 1.5 DIESEL,"41,826",2022,Diesel,Automatic,16.95,Mumbai Maharashtra
Hyundai XCENT PRIME T VTVT PLUS CNG,"160,068",2019,Petrol,Manual,3.96,Mumbai Maharashtra
Hyundai Verna SX (O) 1.5 VTVT IVT,"9,071",2023,Petrol,Automatic,16,Suburban Maharashtra
Hyundai NEW I20 SPORTZ 1.2 AT,"19,909",2021,Petrol,Automatic,7.19,Vasai-Virar Maharashtra
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"25,865",2020,Petrol,Manual,5.76,Mumbai Maharashtra
Hyundai VENUE SX (O) 1.5 CRDI,"103,970",2019,Diesel,Manual,8.96,Mumbai Maharashtra
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"23,715",2020,Petrol,Manual,4.36,Thane Maharashtra
Hyundai EXTER SX 1.2 CNG MT,"6,503",2024,Petrol,Manual,8.01,Mumbai Maharashtra
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,"51,637",2022,Petrol,Automatic,8.73,18 Gurugram
Hyundai Verna SX(O) 1.5 MPI IVT,"3,115",2023,Petrol,Automatic,14.5,Mumbai Maharashtra
Hyundai Creta SX PLUS 1.6 PETROL,"40,563",2017,Petrol,Manual,7,Anjur Sarang
Hyundai i20 ASTA 1.2,"44,895",2014,Petrol,Manual,3.32,Mumbai
Hyundai VENUE S 1.0 TURBO DCT,"46,208",2019,Petrol,Automatic,6.91,Thane West
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"63,637",2015,Petrol,Automatic,3.17,Dombivli East
Hyundai Elite i20 ASTA 1.2 (O),"27,186",2017,Petrol,Manual,4.54,E Mumbai
Hyundai Creta SX (O) 1.4 TURBO DCT,"60,175",2020,Petrol,Automatic,11.26,Mumbai
Hyundai Xcent SX 1.2 (O),"57,407",2015,Petrol,Manual,3.45,Thane West
Hyundai Grand i10 MAGNA 1.1 CRDI,"33,372",2016,Diesel,Manual,4.1,Mumbai
Hyundai NEW SANTRO SPORTZ AMT,"56,261",2019,Petrol,Automatic,4.05,Dombivli East
